theta1,theta2,px,py
30,30,63.30127019,59.64101615
30,40,56.98207592,62.58770483
30,50,50.2471973,64.39231012
30,60,43.30127019,65
30,70,36.35534308,64.39231012
30,80,29.62046446,62.58770483
30,90,23.30127019,59.64101615
30,100,17.5897658,55.64177772
30,110,12.65949246,50.71150439
30,120,8.660254038,45
30,130,5.713565358,38.68080573
30,140,3.908960069,31.94592711
30,150,3.301270189,25
30,160,3.908960069,18.05407289
30,170,5.713565358,11.31919427
30,180,8.660254038,5
30,190,12.65949246,-0.711504387
30,200,17.5897658,-5.641777725
30,210,23.30127019,-9.641016151
30,220,29.62046446,-12.58770483
30,230,36.35534308,-14.39231012
30,240,43.30127019,-15
30,250,50.2471973,-14.39231012
30,260,56.98207592,-12.58770483
30,270,63.30127019,-9.641016151
30,280,69.01277458,-5.641777725
30,290,73.94304791,-0.711504387
30,300,77.94228634,5
30,310,80.88897502,11.31919427
30,320,82.69358031,18.05407289
30,330,83.30127019,25
30,340,82.69358031,31.94592711
30,350,80.88897502,38.68080573
30,360,77.94228634,45
40,0,68.94399988,57.85088487
40,10,64.01372654,62.78115821
40,20,58.30222216,66.78039664
40,30,51.98302789,69.72708532
40,40,45.24814926,71.5316906
40,50,38.30222216,72.13938048
40,60,31.35629505,71.5316906
40,70,24.62141642,69.72708532
40,80,18.30222216,66.78039664
40,90,12.59071777,62.78115821
40,100,7.660444431,57.85088487
40,110,3.661206005,52.13938048
40,120,0.714517325,45.82018622
40,130,-1.090087965,39.08530759
40,140,-1.697777844,32.13938048
40,150,-1.090087965,25.19345338
40,160,0.714517325,18.45857475
40,170,3.661206005,12.13938048
40,180,7.660444431,6.427876097
40,190,12.59071777,1.49760276
40,200,18.30222216,-2.501635667
40,210,24.62141642,-5.448324347
40,220,31.35629505,-7.252929636
40,230,38.30222216,-7.860619516
40,240,45.24814926,-7.252929636
40,250,51.98302789,-5.448324347
40,260,58.30222216,-2.501635667
40,270,64.01372654,1.49760276
40,280,68.94399988,6.427876097
40,290,72.94323831,12.13938048
40,300,75.88992699,18.45857475
40,310,77.69453228,25.19345338
40,320,78.30222216,32.13938048
40,330,77.69453228,39.08530759
40,340,75.88992699,45.82018622
40,350,72.94323831,52.13938048
40,360,68.94399988,57.85088487
50,0,57.85088487,68.94399988
50,10,52.13938048,72.94323831
50,20,45.82018622,75.88992699
50,30,39.08530759,77.69453228
50,40,32.13938048,78.30222216
50,50,25.19345338,77.69453228
50,60,18.45857475,75.88992699
50,70,12.13938048,72.94323831
50,80,6.427876097,68.94399988
50,90,1.49760276,64.01372654
50,100,-2.501635667,58.30222216
50,110,-5.448324347,51.98302789
50,120,-7.252929636,45.24814926
50,130,-7.860619516,38.30222216
50,140,-7.252929636,31.35629505
50,150,-5.448324347,24.62141642
50,160,-2.501635667,18.30222216
50,170,1.49760276,12.59071777
50,180,6.427876097,7.660444431
50,190,12.13938048,3.661206005
50,200,18.45857475,0.714517325
50,210,25.19345338,-1.090087965
50,220,32.13938048,-1.697777844
50,230,39.08530759,-1.090087965
50,240,45.82018622,0.714517325
50,250,52.13938048,3.661206005
50,260,57.85088487,7.660444431
50,270,62.78115821,12.59071777
50,280,66.78039664,18.30222216
50,290,69.72708532,24.62141642
50,300,71.5316906,31.35629505
50,310,72.13938048,38.30222216
50,320,71.5316906,45.24814926
50,330,69.72708532,51.98302789
50,340,66.78039664,58.30222216
50,350,62.78115821,64.01372654
