theta1,theta2,theta3,px,py,phi
0,110,160,36.31919427,17.58770483,270
0,110,170,39.79215782,17.89154977,280
0,110,180,43.15959713,18.79385242,290
0,120,0,20,51.96152423,120
0,120,10,17.14424781,49.96190501,130
0,120,20,14.67911114,47.49676835,140
0,120,30,12.67949192,44.64101615,150
0,120,40,11.20614758,41.48141902,160
0,120,50,10.30384494,38.1139797,170
0,120,60,10,34.64101615,180
0,120,70,10.30384494,31.1680526,190
0,120,80,11.20614758,27.80061328,200
0,120,90,12.67949192,24.64101615,210
0,120,100,14.67911114,21.78526396,220
0,120,110,17.14424781,19.32012729,230
0,120,120,20,17.32050808,240
0,120,130,23.15959713,15.84716374,250
0,120,140,26.52703645,14.94486109,260
0,120,150,30,14.64101615,270
0,120,160,33.47296355,14.94486109,280
0,120,170,36.84040287,15.84716374,290
0,120,180,40,17.32050808,300
0,130,0,11.43274342,45.96266659,130
0,130,10,8.96760675,43.49752992,140
0,130,20,6.967987537,40.64177772,150
0,130,30,5.494643197,37.48218059,160
0,130,40,4.592340552,34.11474128,170
0,130,50,4.288495613,30.64177772,180
0,130,60,4.592340552,27.16881417,190
0,130,70,5.494643197,23.80137486,200
0,130,80,6.967987537,20.64177772,210
0,130,90,8.96760675,17.78602553,220
0,130,100,11.43274342,15.32088886,230
0,130,110,14.28849561,13.32126965,240
0,130,120,17.44809275,11.84792531,250
0,130,130,20.81553206,10.94562266,260
0,130,140,24.28849561,10.64177772,270
0,130,150,27.76145917,10.94562266,280
0,130,160,31.12889848,11.84792531,290
0,130,170,34.28849561,13.32126965,300
0,130,180,37.14424781,15.32088886,310
0,140,0,4.037333413,38.56725658,140
0,140,10,2.0377142,35.71150439,150
0,140,20,0.56436986,32.55190725,160
0,140,30,-0.337932785,29.18446794,170
0,140,40,-0.641777725,25.71150439,180
0,140,50,-0.337932785,22.23854083,190
0,140,60,0.56436986,18.87110152,200
0,140,70,2.0377142,15.71150439,210
0,140,80,4.037333413,12.85575219,220
0,140,90,6.502470082,10.39061553,230
0,140,100,9.358222275,8.390996312,240
0,140,110,12.51781941,6.917651972,250
0,140,120,15.88525872,6.015349327,260
0,140,130,19.35822228,5.711504387,270
0,140,140,22.83118583,6.015349327,280
0,140,150,26.19862514,6.917651972,290
0,140,160,29.35822228,8.390996312,300
0,140,170,32.21397447,10.39061553,310
0,140,180,34.67911114,12.85575219,320
0,150,0,-1.961524227,30,150
0,150,10,-3.434868567,26.84040287,160
0,150,20,-4.337171212,23.47296355,170
0,150,30,-4.641016151,20,180
0,150,40,-4.337171212,16.52703645,190
0,150,50,-3.434868567,13.15959713,200
0,150,60,-1.961524227,10,210
0,150,70,0.038094986,7.144247806,220
0,150,80,2.503231655,4.679111138,230
0,150,90,5.358983849,2.679491924,240
0,150,100,8.518580982,1.206147584,250
0,150,110,11.8860203,0.30384494,260
0,150,120,15.35898385,-3.55E-15,270
0,150,130,18.8319474,0.30384494,280
0,150,140,22.19938672,1.206147584,290
0,150,150,25.35898385,2.679491924,300
0,150,160,28.21473604,4.679111138,310
0,150,170,30.67987271,7.144247806,320
0,150,180,32.67949192,10,330
0,160,0,-6.381557247,20.5212086,160
0,160,10,-7.283859892,17.15376929,170
0,160,20,-7.587704831,13.68080573,180
0,160,30,-7.283859892,10.20784218,190
0,160,40,-6.381557247,6.840402867,200
0,160,50,-4.908212907,3.680805733,210
0,160,60,-2.908593694,0.825053539,220
0,160,70,-0.443457025,-1.640083129,230
0,160,80,2.412295169,-3.639702343,240
0,160,90,5.571892302,-5.113046683,250
0,160,100,8.939331615,-6.015349327,260
0,160,110,12.41229517,-6.319194267,270
0,160,120,15.88525872,-6.015349327,280
0,160,130,19.25269804,-5.113046683,290
0,160,140,22.41229517,-3.639702343,300
0,160,150,25.26804736,-1.640083129,310
0,160,160,27.73318403,0.825053539,320
0,160,170,29.73280324,3.680805733,330
0,160,180,31.20614758,6.840402867,340
0,170,0,-9.088465181,10.41889066,170
0,170,10,-9.39231012,6.945927107,180
0,170,20,-9.088465181,3.472963553,190
0,170,30,-8.186162536,0.10552424,200
0,170,40,-6.712818196,-3.054072893,210
0,170,50,-4.713198983,-5.909825087,220
0,170,60,-2.248062314,-8.374961756,230
0,170,70,0.60768988,-10.37458097,240
0,170,80,3.767287013,-11.84792531,250
0,170,90,7.134726326,-12.75022795,260
0,170,100,10.60768988,-13.05407289,270
0,170,110,14.08065343,-12.75022795,280
0,170,120,17.44809275,-11.84792531,290
0,170,130,20.60768988,-10.37458097,300
0,170,140,23.46344207,-8.374961756,310
0,170,150,25.92857874,-5.909825087,320
0,170,160,27.92819796,-3.054072893,330
0,170,170,29.4015423,0.10552424,340
0,170,180,30.30384494,3.472963553,350
0,180,0,-10,7.35E-15,180
0,180,10,-9.69615506,-3.472963553,190
0,180,20,-8.793852416,-6.840402867,200
0,180,30,-7.320508076,-10,210
0,180,40,-5.320888862,-12.85575219,220
0,180,50,-2.855752194,-15.32088886,230
0,180,60,-8.88E-15,-17.32050808,240
0,180,70,3.159597133,-18.79385242,250
0,180,80,6.527036447,-19.69615506,260
0,180,90,10,-20,270
0,180,100,13.47296355,-19.69615506,280
0,180,110,16.84040287,-18.79385242,290
0,180,120,20,-17.32050808,300
0,180,130,22.85575219,-15.32088886,310
0,180,140,25.32088886,-12.85575219,320
0,180,150,27.32050808,-10,330
0,180,160,28.79385242,-6.840402867,340
0,180,170,29.69615506,-3.472963553,350
0,180,180,30,0,360
10,0,0,108.3288528,19.10129954,10
10,0,10,107.4265502,22.46873886,20
10,0,20,105.9532058,25.62833599,30
10,0,30,103.9535866,28.48408818,40
10,0,40,101.48845,30.94922485,50
10,0,50,98.63269777,32.94884407,60
10,0,60,95.47310064,34.42218841,70
10,0,70,92.10566132,35.32449105,80
10,0,80,88.63269777,35.62833599,90
10,0,90,85.15973422,35.32449105,100
10,0,100,81.7922949,34.42218841,110
10,0,110,78.63269777,32.94884407,120
10,0,120,75.77694558,30.94922485,130
10,0,130,73.31180891,28.48408818,140
10,0,140,71.3121897,25.62833599,150
10,0,150,69.83884536,22.46873886,160
10,0,160,68.93654271,19.10129954,170
10,0,170,68.63269777,15.62833599,180
10,0,180,68.93654271,12.15537244,190
10,10,0,105.6219449,29.20361748,20
10,10,10,104.1486006,32.36321462,30
10,10,20,102.1489813,35.21896681,40
10,10,30,99.68384468,37.68410348,50
10,10,40,96.82809248,39.68372269,60
10,10,50,93.66849535,41.15706703,70
10,10,60,90.30105604,42.05936968,80
10,10,70,86.82809248,42.36321462,90
10,10,80,83.35512893,42.05936968,100
10,10,90,79.98768962,41.15706703,110
10,10,100,76.82809248,39.68372269,120
10,10,110,73.97234029,37.68410348,130
10,10,120,71.50720362,35.21896681,140
10,10,130,69.50758441,32.36321462,150
10,10,140,68.03424007,29.20361748,160
10,10,150,67.13193742,25.83617817,170
10,10,160,66.82809248,22.36321462,180
10,10,170,67.13193742,18.89025106,190
10,10,180,68.03424007,15.52281175,200
10,20,0,101.2019119,38.68240888,30
10,20,10,99.20229266,41.53816108,40
10,20,20,96.737156,44.00329775,50
10,20,30,93.8814038,46.00291696,60
10,20,40,90.72180667,47.4762613,70
10,20,50,87.35436736,48.37856394,80
10,20,60,83.8814038,48.68240888,90
10,20,70,80.40844025,48.37856394,100
10,20,80,77.04100094,47.4762613,110
10,20,90,73.8814038,46.00291696,120
10,20,100,71.02565161,44.00329775,130
10,20,110,68.56051494,41.53816108,140
10,20,120,66.56089573,38.68240888,150
10,20,130,65.08755139,35.52281175,160
10,20,140,64.18524874,32.15537244,170
10,20,150,63.8814038,28.68240888,180
10,20,160,64.18524874,25.20944533,190
10,20,170,65.08755139,21.84200602,200
10,20,180,66.56089573,18.68240888,210
10,30,0,95.20305424,47.24966546,40
10,30,10,92.73791757,49.71480213,50
10,30,20,89.88216538,51.71442135,60
10,30,30,86.72256824,53.18776569,70
10,30,40,83.35512893,54.09006833,80
10,30,50,79.88216538,54.39391327,90
10,30,60,76.40920182,54.09006833,100
10,30,70,73.04176251,53.18776569,110
10,30,80,69.88216538,51.71442135,120
10,30,90,67.02641318,49.71480213,130
10,30,100,64.56127651,47.24966546,140
10,30,110,62.5616573,44.39391327,150
10,30,120,61.08831296,41.23431614,160
10,30,130,60.18601032,37.86687682,170
10,30,140,59.88216538,34.39391327,180
10,30,150,60.18601032,30.92094972,190
10,30,160,61.08831296,27.5535104,200
10,30,170,62.5616573,24.39391327,210
10,30,180,64.56127651,21.53816108,220
10,40,0,87.80764423,54.64507547,50
10,40,10,84.95189204,56.64469468,60
10,40,20,81.7922949,58.11803902,70
10,40,30,78.42485559,59.02034167,80
10,40,40,74.95189204,59.32418661,90
10,40,50,71.47892848,59.02034167,100
10,40,60,68.11148917,58.11803902,110
10,40,70,64.95189204,56.64469468,120
10,40,80,62.09613984,54.64507547,130
10,40,90,59.63100318,52.1799388,140
10,40,100,57.63138396,49.32418661,150
10,40,110,56.15803962,46.16458947,160
10,40,120,55.25573698,42.79715016,170
10,40,130,54.95189204,39.32418661,180
10,40,140,55.25573698,35.85122305,190
10,40,150,56.15803962,32.48378374,200
10,40,160,57.63138396,29.32418661,210
10,40,170,59.63100318,26.46843441,220
10,40,180,62.09613984,24.00329775,230
10,50,0,79.24038765,60.64393311,60
10,50,10,76.08079052,62.11727745,70
10,50,20,72.7133512,63.01958009,80
10,50,30,69.24038765,63.32342503,90
10,50,40,65.7674241,63.01958009,100
10,50,50,62.39998478,62.11727745,110
10,50,60,59.24038765,60.64393311,120
10,50,70,56.38463546,58.6443139,130
10,50,80,53.91949879,56.17917723,140
10,50,90,51.91987957,53.32342503,150
10,50,100,50.44653523,50.1638279,160
10,50,110,49.54423259,46.79638859,170
10,50,120,49.24038765,43.32342503,180
10,50,130,49.54423259,39.85046148,190
10,50,140,50.44653523,36.48302217,200
10,50,150,51.91987957,33.32342503,210
10,50,160,53.91949879,30.46767284,220
10,50,170,56.38463546,28.00253617,230
10,50,180,59.24038765,26.00291696,240
10,60,0,69.76159625,65.06396613,70
10,60,10,66.39415694,65.96626878,80
10,60,20,62.92119338,66.27011371,90
10,60,30,59.44822983,65.96626878,100
10,60,40,56.08079052,65.06396613,110
10,60,50,52.92119338,63.59062179,120
10,60,60,50.06544119,61.59100258,130
10,60,70,47.60030452,59.12586591,140
10,60,80,45.60068531,56.27011371,150
10,60,90,44.12734097,53.11051658,160
10,60,100,43.22503832,49.74307727,170
10,60,110,42.92119338,46.27011371,180
10,60,120,43.22503832,42.79715016,190
10,60,130,44.12734097,39.42971085,200
10,60,140,45.60068531,36.27011371,210
10,60,150,47.60030452,33.41436152,220
10,60,160,50.06544119,30.94922485,230
10,60,170,52.92119338,28.94960564,240
10,60,180,56.08079052,27.4762613,250
10,70,0,59.65927831,67.77087406,80
10,70,10,56.18631476,68.074719,90
10,70,20,52.7133512,67.77087406,100
10,70,30,49.34591189,66.86857142,110
10,70,40,46.18631476,65.39522708,120
10,70,50,43.33056256,63.39560787,130
10,70,60,40.86542589,60.9304712,140
10,70,70,38.86580668,58.074719,150
10,70,80,37.39246234,54.91512187,160
10,70,90,36.4901597,51.54768256,170
10,70,100,36.18631476,48.074719,180
10,70,110,36.4901597,44.60175545,190
10,70,120,37.39246234,41.23431614,200
10,70,130,38.86580668,38.074719,210
10,70,140,40.86542589,35.21896681,220
10,70,150,43.33056256,32.75383014,230
10,70,160,46.18631476,30.75421093,240
10,70,170,49.34591189,29.28086659,250
10,70,180,52.7133512,28.37856394,260
10,80,0,49.24038765,68.68240888,90
10,80,10,45.7674241,68.37856394,100
10,80,20,42.39998478,67.4762613,110
10,80,30,39.24038765,66.00291696,120
10,80,40,36.38463546,64.00329775,130
10,80,50,33.91949879,61.53816108,140
10,80,60,31.91987957,58.68240888,150
10,80,70,30.44653523,55.52281175,160
10,80,80,29.54423259,52.15537244,170
10,80,90,29.24038765,48.68240888,180
10,80,100,29.54423259,45.20944533,190
10,80,110,30.44653523,41.84200602,200
10,80,120,31.91987957,38.68240888,210
10,80,130,33.91949879,35.82665669,220
10,80,140,36.38463546,33.36152002,230
10,80,150,39.24038765,31.36190081,240
10,80,160,42.39998478,29.88855647,250
10,80,170,45.7674241,28.98625382,260
10,80,180,49.24038765,28.68240888,270
10,90,0,38.82149699,67.77087406,100
10,90,10,35.45405768,66.86857142,110
10,90,20,32.29446054,65.39522708,120
10,90,30,29.43870835,63.39560787,130
10,90,40,26.97357168,60.9304712,140
10,90,50,24.97395247,58.074719,150
10,90,60,23.50060813,54.91512187,160
10,90,70,22.59830548,51.54768256,170
10,90,80,22.29446054,48.074719,180
10,90,90,22.59830548,44.60175545,190
10,90,100,23.50060813,41.23431614,200
10,90,110,24.97395247,38.074719,210
10,90,120,26.97357168,35.21896681,220
10,90,130,29.43870835,32.75383014,230
10,90,140,32.29446054,30.75421093,240
10,90,150,35.45405768,29.28086659,250
10,90,160,38.82149699,28.37856394,260
10,90,170,42.29446054,28.074719,270
10,90,180,45.7674241,28.37856394,280
10,100,0,28.71917905,65.06396613,110
10,100,10,25.55958192,63.59062179,120
10,100,20,22.70382972,61.59100258,130
10,100,30,20.23869306,59.12586591,140
10,100,40,18.23907384,56.27011371,150
10,100,50,16.7657295,53.11051658,160
10,100,60,15.86342686,49.74307727,170
10,100,70,15.55958192,46.27011371,180
10,100,80,15.86342686,42.79715016,190
10,100,90,16.7657295,39.42971085,200
10,100,100,18.23907384,36.27011371,210
10,100,110,20.23869306,33.41436152,220
10,100,120,22.70382972,30.94922485,230
10,100,130,25.55958192,28.94960564,240
10,100,140,28.71917905,27.4762613,250
10,100,150,32.08661836,26.57395865,260
10,100,160,35.55958192,26.27011371,270
10,100,170,39.03254547,26.57395865,280
10,100,180,42.39998478,27.4762613,290
10,110,0,19.24038765,60.64393311,120
10,110,10,16.38463546,58.6443139,130
10,110,20,13.91949879,56.17917723,140
10,110,30,11.91987957,53.32342503,150
10,110,40,10.44653523,50.1638279,160
10,110,50,9.54423259,46.79638859,170
10,110,60,9.240387651,43.32342503,180
10,110,70,9.54423259,39.85046148,190
10,110,80,10.44653523,36.48302217,200
10,110,90,11.91987957,33.32342503,210
10,110,100,13.91949879,30.46767284,220
10,110,110,16.38463546,28.00253617,230
10,110,120,19.24038765,26.00291696,240
10,110,130,22.39998478,24.52957262,250
10,110,140,25.7674241,23.62726997,260
10,110,150,29.24038765,23.32342503,270
10,110,160,32.7133512,23.62726997,280
10,110,170,36.08079052,24.52957262,290
10,110,180,39.24038765,26.00291696,300
10,120,0,10.67313107,54.64507547,130
10,120,10,8.207994401,52.1799388,140
10,120,20,6.208375187,49.32418661,150
10,120,30,4.735030847,46.16458947,160
10,120,40,3.832728203,42.79715016,170
10,120,50,3.528883263,39.32418661,180
10,120,60,3.832728203,35.85122305,190
10,120,70,4.735030847,32.48378374,200
10,120,80,6.208375187,29.32418661,210
10,120,90,8.207994401,26.46843441,220
10,120,100,10.67313107,24.00329775,230
10,120,110,13.52888326,22.00367853,240
10,120,120,16.6884804,20.53033419,250
10,120,130,20.05591971,19.62803155,260
10,120,140,23.52888326,19.32418661,270
10,120,150,27.00184682,19.62803155,280
10,120,160,30.36928613,20.53033419,290
10,120,170,33.52888326,22.00367853,300
10,120,180,36.38463546,24.00329775,310
10,130,0,3.277721063,47.24966546,140
10,130,10,1.27810185,44.39391327,150
10,130,20,-0.19524249,41.23431614,160
10,130,30,-1.097545134,37.86687682,170
10,130,40,-1.401390074,34.39391327,180
10,130,50,-1.097545134,30.92094972,190
10,130,60,-0.19524249,27.5535104,200
10,130,70,1.27810185,24.39391327,210
10,130,80,3.277721063,21.53816108,220
10,130,90,5.742857732,19.07302441,230
10,130,100,8.598609926,17.0734052,240
10,130,110,11.75820706,15.60006086,250
10,130,120,15.12564637,14.69775821,260
10,130,130,18.59860993,14.39391327,270
10,130,140,22.07157348,14.69775821,280
10,130,150,25.43901279,15.60006086,290
10,130,160,28.59860993,17.0734052,300
10,130,170,31.45436212,19.07302441,310
10,130,180,33.91949879,21.53816108,320
10,140,0,-2.721136576,38.68240888,150
10,140,10,-4.194480916,35.52281175,160
10,140,20,-5.096783561,32.15537244,170
10,140,30,-5.400628501,28.68240888,180
10,140,40,-5.096783561,25.20944533,190
10,140,50,-4.194480916,21.84200602,200
10,140,60,-2.721136576,18.68240888,210
10,140,70,-0.721517363,15.82665669,220
10,140,80,1.743619306,13.36152002,230
10,140,90,4.599371499,11.36190081,240
10,140,100,7.758968633,9.888556468,250
10,140,110,11.12640795,8.986253823,260
10,140,120,14.5993715,8.682408883,270
10,140,130,18.07233505,8.986253823,280
10,140,140,21.43977437,9.888556468,290
10,140,150,24.5993715,11.36190081,300
10,140,160,27.45512369,13.36152002,310
10,140,170,29.92026036,15.82665669,320
10,140,180,31.91987957,18.68240888,330
10,150,0,-7.141169597,29.20361748,160
10,150,10,-8.043472241,25.83617817,170
10,150,20,-8.347317181,22.36321462,180
10,150,30,-8.043472241,18.89025106,190
10,150,40,-7.141169597,15.52281175,200
10,150,50,-5.667825257,12.36321462,210
10,150,60,-3.668206043,9.507462423,220
10,150,70,-1.203069375,7.042325754,230
10,150,80,1.652682819,5.042706541,240
10,150,90,4.812279953,3.569362201,250
10,150,100,8.179719266,2.667059556,260
10,150,110,11.65268282,2.363214616,270
10,150,120,15.12564637,2.667059556,280
10,150,130,18.49308569,3.569362201,290
10,150,140,21.65268282,5.042706541,300
10,150,150,24.50843501,7.042325754,310
10,150,160,26.97357168,9.507462423,320
10,150,170,28.97319089,12.36321462,330
10,150,180,30.44653523,15.52281175,340
10,160,0,-9.84807753,19.10129954,170
10,160,10,-10.15192247,15.62833599,180
10,160,20,-9.84807753,12.15537244,190
10,160,30,-8.945774886,8.787933124,200
10,160,40,-7.472430546,5.62833599,210
10,160,50,-5.472811332,2.772583796,220
10,160,60,-3.007674664,0.307447128,230
10,160,70,-0.15192247,-1.692172086,240
10,160,80,3.007674664,-3.165516426,250
10,160,90,6.375113977,-4.06781907,260
10,160,100,9.84807753,-4.37166401,270
10,160,110,13.32104108,-4.06781907,280
10,160,120,16.6884804,-3.165516426,290
10,160,130,19.84807753,-1.692172086,300
10,160,140,22.70382972,0.307447128,310
10,160,150,25.16896639,2.772583796,320
10,160,160,27.16858561,5.62833599,330
10,160,170,28.64192995,8.787933124,340
10,160,180,29.54423259,12.15537244,350
10,170,0,-10.75961235,8.682408883,180
10,170,10,-10.45576741,5.20944533,190
10,170,20,-9.553464765,1.842006017,200
10,170,30,-8.080120425,-1.317591117,210
10,170,40,-6.080501212,-4.17334331,220
10,170,50,-3.615364543,-6.638479979,230
10,170,60,-0.759612349,-8.638099192,240
10,170,70,2.399984784,-10.11144353,250
10,170,80,5.767424097,-11.01374618,260
10,170,90,9.240387651,-11.31759112,270
10,170,100,12.7133512,-11.01374618,280
10,170,110,16.08079052,-10.11144353,290
10,170,120,19.24038765,-8.638099192,300
10,170,130,22.09613984,-6.638479979,310
10,170,140,24.56127651,-4.17334331,320
